"","Area","Year","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7231","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7194","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7244","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7243","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7178","Emissions.Transport_7231","Emissions.Transport_7194","Emissions.Transport_7244","Emissions.Transport_7243","Emissions.Transport_7178","Emissions.Residential, commercial, institutional and AFF_7231","Emissions.Residential, commercial, institutional and AFF_7194","Emissions.Residential, commercial, institutional and AFF_7244","Emissions.Residential, commercial, institutional and AFF_7243","Emissions.Residential, commercial, institutional and AFF_7178","Emissions.Industrial processes and product use_7231","Emissions.Industrial processes and product use_7194","Emissions.Industrial processes and product use_7244","Emissions.Industrial processes and product use_7243","Emissions.Industrial processes and product use_7178","Emissions.Waste_7231","Emissions.Waste_7194","Emissions.Waste_7244","Emissions.Waste_7243","Emissions.Waste_7178","Emissions.Other sources_7231","Emissions.Other sources_7194","Emissions.Other sources_7244","Emissions.Other sources_7243","Emissions.Other sources_7178","Emissions.Agriculture total_7231","Emissions.Agriculture total_7194","Emissions.Agriculture total_7244","Emissions.Agriculture total_7243","Emissions.Agriculture total_7178","Emissions.Land use sources_7231","Emissions.Land use sources_7194","Emissions.Land use sources_7244","Emissions.Land use sources_7243","Emissions.Land use sources_7178","Emissions.Forest_7231","Emissions.Forest_7194","Emissions.Forest_7244","Emissions.Forest_7243","Emissions.Forest_7178","Emissions.Energy total_7231","Emissions.Energy total_7194","Emissions.Energy total_7244","Emissions.Energy total_7243","Emissions.Energy total_7178","Emissions.Land Use total_7231","Emissions.Land Use total_7194","Emissions.Land Use total_7244","Emissions.Land Use total_7243","Emissions.Land Use total_7178","CO2_7194","CH4_7244","N2O_7243","F_7178"
"6533","Northern America","Y2007",3922937.767,3602647.59,256580.354,63709.8227,0,1989388.081,1981790.536,138.1647,7459.3804,0,709752.8496,695846.2,7363.5404,6543.1092,0,527820.2575,203901.7263,653.1006,32782.382,290483.0486,175760.3091,193.9855,163706.3894,11859.9342,0,32148.1505,4730,315,27103.1505,0,414095.1442,0,191104.6763,222990.4679,0,378715.6397,319347.3676,47496.2753,11871.9968,0,-464251.1491,-464251.1491,0,0,0,6622078.697,6280284.326,264082.059,77712.3123,0,-85536,-144904,47496,11872,0,6344206.2563,667357.5007,384320.2437,290483.0486
"6914","Northern America","Y2008",3845845.616,3528137.53,258606.9331,59101.1531,0,1877698.278,1871309.256,122.171,6266.8508,0,716250.8698,701947.1,7518.522,6785.2478,0,530845.3839,189504.7453,595.989,31153.5713,309591.0782,175700.9534,188.0007,163465.4345,12047.5183,0,29824.1338,4730,315,24779.1338,0,411006.7098,0,191702.8005,219303.9092,0,274741.6904,241466.9835,25714.2111,7560.4958,0,-464108.7497,-464108.7497,0,0,0,6439794.764,6101393.886,266247.6261,72153.2517,0,-189367,-222642,25714,7560,0,6073174.8658,648041.0612,366997.8801,309591.0782
"7295","Northern America","Y2009",3503319.831,3197915.54,249455.6256,55948.6652,0,1808715.589,1802613.936,125.1041,5976.5485,0,695910.0956,681944.4,7401.9403,6563.7553,0,526670.7644,163368.7643,567.1629,28949.9075,333784.9297,164786.6909,182.0158,152346.9866,12257.6885,0,29250.6107,4730,315,24205.6107,0,403687.274,0,188658.8349,215028.4391,0,260010.239,237864.2594,19260.8412,2885.1384,0,-463966.3055,-463966.3055,0,0,0,6007945.515,5682473.876,256982.67,68488.969,0,-203956,-226102,19261,2885,0,5624652.61,618131.4956,351815.7532,333784.9297
"7676","Northern America","Y2010",3675136.361,3369625.65,248208.3327,57302.3784,0,1824304.558,1818149.727,119.7399,6035.0909,0,687587.3349,673741.7,7329.4125,6516.2224,0,579941.7907,175982.7914,568.1192,31041.8517,372349.0284,163382.3023,176.0309,150709.4465,12496.8249,0,28998.0291,4730,315,23953.0291,0,406237.3258,0,189124.8436,217112.4822,0,315087.2293,268274.8444,35746.7935,11065.5914,0,-463823.8165,-463823.8165,0,0,0,6187028.254,5861517.077,255657.4851,69853.6917,0,-148737,-195549,35747,11066,0,5846856.9272,632121.6879,365523.471,372349.0284
"328","Oceania","Y1990",225231.0794,199161.5232,24621.0819,1448.4743,0,72644.3983,72451.8722,13.1315,179.3946,0,20854.0964,18701.3815,1301.1551,851.5598,0,19463.7087,12473.1457,36.4724,1154.1908,5799.8998,14971.5677,11.6655,14188.1916,771.7106,0,5189.533,189,12.6,4987.933,0,207110.9509,0,110739.0275,96371.9234,0,77806.5037,68358.1467,6952.9248,2495.4323,0,-40452.3029,-40452.3029,0,0,0,318729.5741,290314.7769,25935.3685,2479.4287,0,37354,27906,6953,2495,0,330894.4319,157864.5848,108260.6188,5799.8998
"709","Oceania","Y1991",230101.6469,202163.6095,26470.5156,1467.5217,0,71155.2276,70967.6496,12.7092,174.8688,0,21121.6506,18937.5742,1324.5665,859.5099,0,18934.4898,12349.1089,35.5325,1153.035,5396.8134,15363.4205,11.9259,14587.0231,764.4715,0,6346.6852,189,12.6,6145.0852,0,204755.9671,0,109469.1099,95286.8572,0,77887.5406,68439.1835,6952.9248,2495.4323,0,-40533.3398,-40533.3398,0,0,0,322378.5251,292068.8333,27807.7914,2501.9004,0,37354,27906,6953,2495,0,332524.7118,158864.9816,108346.7816,5396.8134
"1090","Oceania","Y1992",235451.8292,206089.3084,27887.39,1475.1308,0,73287.699,73099.0652,13.231,175.4028,0,21143.9284,18937.7575,1334.5257,871.6452,0,18392.2207,12256.0203,55.7163,1199.7303,4880.7538,15516.3843,12.1956,14736.7841,767.4046,0,5540.873,189,12.6,5339.273,0,201177.7627,0,107276.0461,93901.7166,0,77888.205,68439.8479,6952.9248,2495.4323,0,-40534.0042,-40534.0042,0,0,0,329883.4567,298126.1311,29235.1468,2522.1788,0,37354,27906,6953,2495,0,338489.1907,158269.218,106225.7356,4880.7538
"1471","Oceania","Y1993",236953.9133,207505.5369,27938.9524,1509.424,0,74644.1634,74454.9993,13.3731,175.7911,0,22013.3142,19602.7974,1491.1217,919.3951,0,18673.8763,12784.2899,55.7205,1371.1804,4462.6855,15938.3327,12.4759,15143.9899,781.8669,0,4668.0134,189,12.6,4466.4134,0,198865.9543,0,105689.8984,93176.0559,0,77888.8656,68440.5085,6952.9248,2495.4323,0,-40534.6648,-40534.6648,0,0,0,333611.3908,301563.3336,29443.4471,2604.6101,0,37354,27906,6953,2495,0,342454.9431,157298.5808,104895.5591,4462.6855
"1852","Oceania","Y1994",234723.6007,207317.8622,25894.302,1511.4365,0,76932.6746,76741.4686,13.7398,177.4663,0,21613.5606,19326.6197,1368.8362,918.1047,0,18757.3172,13495.1114,60.3963,1470.262,3731.5475,15869.6658,12.7344,15057.5878,799.3436,0,7098.9573,189,12.6,6897.3573,0,201390.5399,0,107961.9505,93428.5894,0,77889.5223,68441.1652,6952.9248,2495.4323,0,-40535.3215,-40535.3215,0,0,0,333269.8359,303385.9504,27276.8781,2607.0075,0,37354,27906,6953,2495,0,344988.64,157322.3374,107697.9921,3731.5475
"2233","Oceania","Y1995",240596.232,211207.0773,27843.4067,1545.748,0,80403.8986,80201.1745,13.6697,189.0543,0,22586.7253,20276.3234,1371.3924,939.0095,0,19422.203,13945.101,104.7411,1552.9238,3819.4371,16118.8085,12.9723,15281.734,824.1022,0,4631.0435,189,12.6,4429.4435,0,200083.3956,0,106503.5976,93579.7981,0,77890.1754,68441.8183,6952.9248,2495.4323,0,-40535.9745,-40535.9745,0,0,0,343586.8558,311684.5752,29228.4688,2673.8118,0,37354,27906,6953,2495,0,353737.4923,158084.0663,105555.5117,3819.4371
"2614","Oceania","Y1996",254721.9658,224890.3483,28087.7815,1743.8359,0,83226.8639,83004.6341,12.7729,209.457,0,22387.0006,20116.3686,1336.6873,933.9447,0,19874.234,14271.6505,118.9837,1678.5621,3805.0377,15225.1505,13.2355,14395.4952,816.4199,0,4661.6752,189,12.6,4460.0752,0,190525.5554,0,102064.1146,88461.4407,0,68429.1428,60621.1641,5468.3777,2339.601,0,-40536.6239,-40536.6239,0,0,0,360335.8303,328011.351,29437.2416,2887.2376,0,27893,20085,5468,2340,0,362569.7772,151496.8129,100643.3365,3805.0377
"2995","Oceania","Y1997",273922.9538,242736.117,29351.7931,1835.0437,0,84987.0551,84746.9138,11.835,228.3063,0,22924.473,20614.8365,1341.8618,967.7746,0,19823.237,14090.019,119.623,1715.7769,3897.8182,15340.2509,13.4718,14499.2181,827.5611,0,6857.5652,189,12.6,6655.9652,0,189253.0609,0,101979.7893,87273.2716,0,182271.7689,136733.519,35595.1897,9943.0603,0,-40537.2698,-40537.2698,0,0,0,381834.4819,348097.8674,30705.4899,3031.1246,0,141734,96196,35595,9943,0,458586.6073,182911.91,109446.7597,3897.8182
"3376","Oceania","Y1998",294802.0841,262235.0226,30618.8344,1948.227,0,85185.9237,84930.9306,10.8226,244.1705,0,23232.9329,20902.235,1330.2324,1000.4655,0,20893.9737,14530.1387,119.8548,1902.4637,4341.5165,14892.6804,13.7081,14054.9715,824.0008,0,4730.8047,189,12.6,4529.2047,0,194886.6412,0,103682.8187,91203.8224,0,71612.4691,62293.3013,6561.6384,2757.5294,0,-40537.9122,-40537.9122,0,0,0,403220.9407,368068.1882,31959.8895,3192.863,0,31075,21755,6562,2758,0,404556.4241,156391.7728,104409.884,4341.5165
"3757","Oceania","Y1999",300494.0043,267812.0725,30675.7892,2006.1426,0,86915.703,86636.6705,9.7794,269.2531,0,23561.4412,21223.5089,1323.1564,1014.7759,0,21452.2464,14649.9071,119.1613,2000.5475,4682.6306,15128.8104,13.9715,14266.9525,847.8865,0,5248.1886,189,12.6,5046.5886,0,225025.7904,0,115935.9584,109089.8321,0,73429.0238,62067.9435,8027.2433,3333.837,0,-40538.5512,-40538.5512,0,0,0,410971.1485,375672.2519,32008.7249,3290.1716,0,32890,21529,8027,3334,0,412054.5228,170370.6405,123608.8633,4682.6306
"4138","Oceania","Y2000",302954.9127,268335.06,32176.7881,2443.0646,0,89896.525,89601.573,6.6566,288.2954,0,22449.7269,20136.42,1369.637,943.6699,0,23710.9412,16572.0063,120.1587,2061.385,4957.3913,15230.7997,14.187,14357.4885,859.1242,0,6224.0988,189,12.6,6022.4988,0,240565.112,0,123245.9,117319.212,0,68145.6433,62389.3875,4179.5741,1576.6817,0,-40539.187,-40539.187,0,0,0,415301.1646,378073.053,33553.0816,3675.0299,0,27606,21850,4180,1577,0,416698.4468,175468.803,131513.9316,4957.3913
"4519","Oceania","Y2001",309651.8677,271886.52,35345.2476,2420.1001,0,89283.9254,88978.833,7.2633,297.8291,0,23112.7224,20775.93,1383.1163,953.6761,0,23691.9092,16505.2058,92.6474,1848.7312,5245.3248,15489.9491,14.497,14591.7308,883.7213,0,6938.4639,189,12.6,6736.8639,0,240849.5195,0,122975.9871,117873.5324,0,141686.9719,136193.9261,3816.32,1676.7258,0,-59326.8779,-59326.8779,0,0,0,422048.5155,381641.283,36735.6272,3671.6053,0,82360,76867,3816,1677,0,475217.034,178224.9125,132691.1799,5245.3248
"4900","Oceania","Y2002",318602.6061,279661.05,36435.4237,2506.1324,0,92208.2721,91951.1578,6.0573,251.057,0,24850.0582,22346.84,1428.3577,1074.8605,0,23313.6171,16106.3004,66.5532,1524.3946,5616.3689,15802.247,14.706,14890.9735,896.5675,0,6638.7858,189,12.6,6437.1858,0,232541.5614,0,120069.8118,112471.7497,0,159267.415,147966.3192,8234.8449,3066.2509,0,-59366.6692,-59366.6692,0,0,0,435660.9364,393959.0478,37869.8386,3832.05,0,99901,88600,8235,3066,0,498868.7042,181144.6221,128228.1984,5616.3689
"5281","Oceania","Y2003",321875.1804,282514.51,36838.4204,2522.25,0,94685.7625,94418.5217,6.0853,261.1555,0,25772.5284,23246.48,1371.1319,1154.9165,0,26163.2536,17822.7152,40.3606,2045.3091,6254.8688,15271.3869,14.921,14311.7043,944.7616,0,6469.0865,189,12.6,6267.4865,0,171592.7595,0,92359.764,79232.9955,0,156186.7677,142798.6243,8821.0879,4567.0555,0,-59406.5934,-59406.5934,0,0,0,442333.4713,400179.5117,38215.6377,3938.3219,0,96780,83392,8821,4567,0,501598.1788,153761.1544,96995.9302,6254.8688
"5662","Oceania","Y2004",340286.4595,300153.81,37471.0554,2661.594,0,94833.4992,94554.765,5.75,272.9842,0,26536.1989,24071.2,1250.6791,1214.3198,0,27066.1145,18027.0868,40.3582,2093.9943,6904.6752,15031.4614,15.238,14058.2962,957.9272,0,5315.3324,189,12.6,5113.7324,0,203746.5563,0,106559.6222,97186.9341,0,173090.9066,160648.7773,10181.1362,2260.9931,0,-59446.6511,-59446.6511,0,0,0,461656.1576,418779.775,38727.4846,4148.898,0,113644,101202,10181,2261,0,538213.226,169579.4973,111762.4791,6904.6752
"6043","Oceania","Y2005",360488.3346,319221.85,38497.3181,2769.1665,0,96509.2005,96178.148,6.4958,324.5567,0,27682.4725,25173.62,1189.9986,1318.8539,0,27717.4871,18065.7423,41.7213,2092.8269,7517.1966,15111.2967,15.458,14124.8546,970.9841,0,4265.457,189,12.6,4063.857,0,172221.7003,0,93440.435,78781.2653,0,138247.8546,135260.0614,2300.8,686.9932,0,-59486.8433,-59486.8433,0,0,0,484680.0076,440573.618,39693.8125,4412.577,0,78761,75773,2301,687,0,534617.0364,149614.2234,91008.5036,7517.1966
"6424","Oceania","Y2006",366426.824,325639.31,38102.9821,2684.5319,0,94581.0111,94277.831,6.3718,296.8083,0,27236.6105,24858.25,1099.4093,1278.9512,0,29360.6651,18923.7508,42.1129,2089.2413,8305.5601,15130.6579,15.666,14130.9035,984.0884,0,3592.2759,189,12.6,3390.6759,0,199773.4969,0,106014.1286,93759.3683,0,301359.8765,287489.3177,9301.0735,4569.4852,0,-246398.9474,-246398.9474,0,0,0,488244.4456,444775.391,39208.7632,4260.2914,0,54961,41090,9301,4569,0,504994.1781,168709.5817,109053.1505,8305.5601
"6805","Oceania","Y2007",367285.1698,325177.78,39496.944,2610.4458,0,96117.1023,95794.383,8.6544,314.0649,0,26815.7004,24589.2,1016.3773,1210.1232,0,30394.1008,19149.2682,42.9381,2234.5704,8967.324,15628.0139,15.98,14614.8654,997.1686,0,6353.399,189,12.6,6151.799,0,187766.1193,0,99985.356,87780.7633,0,286678.1391,280804.3871,4012.9696,1860.7824,0,-247944.1909,-247944.1909,0,0,0,490217.9725,445561.363,40521.9757,4134.6339,0,38734,32860,4013,1861,0,497775.8074,159190.7048,103159.7176,8967.324
"7186","Oceania","Y2008",380116.1158,337236.778,40242.0639,2637.2739,0,98509.5428,98170.696,8.8549,329.9919,0,27352.5636,25202.8,931.4433,1218.3203,0,31032.2878,19152.6288,43.6569,2241.2378,9594.7643,15983.745,16.194,14957.2883,1010.2628,0,3368.3943,189,12.6,3166.7943,0,162929.9405,0,88386.5424,74543.3981,0,291323.5803,286653.2667,3794.0939,876.2197,0,-249511.0047,-249511.0047,0,0,0,505978.2222,460610.274,41182.3621,4185.5861,0,41813,37142,3794,876,0,517110.3588,148376.5436,86023.4988,9594.7643
"7567","Oceania","Y2009",380640.0333,333819.324,44217.1851,2603.5242,0,96873.536,96539.312,8.7445,325.4795,0,27643.359,25494.8,921.7608,1226.7982,0,30443.4929,17947.9663,44.3208,2290.7078,10160.498,16056.6771,16.407,15033.9542,1006.3158,0,3745.7318,189,12.6,3544.1318,0,169963.8185,0,91570.7061,78393.1124,0,289487.8496,284638.2268,3496.8402,1352.7826,0,-251099.847,-251099.847,0,0,0,505156.9282,455853.436,45147.6904,4155.8018,0,38388,33538,3497,1353,0,507545.1891,155306.1117,90742.8523,10160.498
"7948","Oceania","Y2010",377720.5661,329405.071,45748.7904,2566.7047,0,97122.0404,96781.748,9.3733,330.9191,0,28223.4092,26058.9,916.4574,1248.0518,0,34054.9926,21038.826,44.9845,2340.1783,10631.0038,16390.0344,16.719,15377.6183,995.6971,0,2788.7171,189,12.6,2587.1171,0,149093.8495,0,81671.1387,67422.7108,0,294993.1143,290247.1075,3845.3377,900.669,0,-252711.1895,-252711.1895,0,0,0,503066.0157,452245.719,46674.6211,4145.6755,0,42282,37536,3845,901,0,511026.182,147626.3003,78392.0479,10631.0038
"165","South America","Y1990",352162.5457,270084.5366,78537.4503,3540.5589,0,183856.7631,183583.6198,17.2581,255.8853,0,82541.982,72752.5334,6565.7502,3223.6984,0,64327.8328,47322.3167,135.3063,4979.4743,11890.7354,70925.7172,143.8499,66957.4744,3824.3928,0,12704.6795,0,NA,12704.6795,0,577430.7043,0,384489.9093,192940.7951,0,1846355.34,1818187.229,20184.6806,7983.4299,0,-400354.212,-400354.212,0,0,0,618561.2909,526420.6898,85120.4586,7020.1426,0,1446001,1417833,20185,7983,0,1991719.8734,556887.8292,229452.9142,11890.7354
"546","South America","Y1991",354307.9501,273791.1679,76926.9502,3589.832,0,192031.671,191744.6284,19.0278,268.0149,0,82243.293,72368.6803,6525.2691,3349.3436,0,66903.4224,48600.6297,143.3208,6105.1639,12054.308,72823.7428,147.3544,68581.2896,4095.0988,0,12006.5344,0,NA,12006.5344,0,586890.3056,0,391038.1711,195852.1344,0,1848077.418,1819909.307,20184.6806,7983.4299,0,-402076.2901,-402076.2901,0,0,0,628582.9141,537904.4766,83471.2471,7207.1904,0,1446001,1417833,20185,7983,0,2004485.4776,563418.7092,233249.5519,12054.308
"927","South America","Y1992",361853.4106,281558.4274,76645.7866,3649.1967,0,196689.6506,196396.2897,19.6891,273.6718,0,85568.7722,75716.2873,6407.2706,3445.2143,0,64890.1952,47571.6453,145.4082,6300.7165,10872.4252,74902.669,149.77,70537.7411,4215.1579,0,12977.9583,0,NA,12977.9583,0,596956.0781,0,397833.8804,199122.1977,0,1849819.401,1821651.29,20184.6806,7983.4299,0,-403818.2731,-403818.2731,0,0,0,644111.8334,553671.0043,83072.7463,7368.0828,0,1446001,1417833,20185,7983,0,2019225.4366,571774.4566,237967.5431,10872.4252
"1308","South America","Y1993",372197.6546,287985.5005,80511.6395,3700.5146,0,208135.3828,207829.3006,20.5266,285.5556,0,89718.5617,79956.2867,6129.9591,3632.3159,0,67484.0751,50140.7138,149.2447,6732.8432,10461.2734,78107.7601,155.0962,73575.743,4376.9208,0,14209.3313,0,NA,14209.3313,0,600829.0809,0,399344.9921,201484.0888,0,1851581.674,1823413.564,20184.6806,7983.4299,0,-405580.5464,-405580.5464,0,0,0,670051.599,575771.0879,86662.1252,7618.386,0,1446001,1417833,20185,7983,0,2043899.9154,579916.7856,242405.0001,10461.2734
"1689","South America","Y1994",383988.37,295465.5319,84530.9236,3991.9145,0,216673.2876,216367.0594,21.7918,284.4364,0,94988.8882,84958.1412,6124.7897,3905.9573,0,67619.866,50610.3709,179.742,7040.455,9789.2981,80703.4599,161.1541,75963.7119,4578.5938,0,10011.3691,0,NA,10011.3691,0,614330.0102,0,407070.649,207259.3611,0,1853364.634,1825196.524,20184.6806,7983.4299,0,-407363.5064,-407363.5064,0,0,0,695650.5458,596790.7324,90677.5052,8182.3082,0,1446001,1417833,20185,7983,0,2065395.2751,594076.2886,245055.5171,9789.2981
"2070","South America","Y1995",403798.3061,312184.2326,87534.3711,4079.7024,0,235532.4629,235194.7956,24.2276,313.4397,0,96472.348,86433.0685,5994.9673,4044.3122,0,70736.7812,53642.8428,210.359,7469.2928,9414.2866,83113.6346,166.4877,78249.3435,4697.8034,0,11507.203,0,NA,11507.203,0,622039.7753,0,412421.784,209617.9913,0,1855168.688,1827000.578,20184.6806,7983.4299,0,-409167.5607,-409167.5607,0,0,0,735803.117,633812.0967,93553.566,8437.4542,0,1446001,1417833,20185,7983,0,2105454.4445,604619.7331,249713.1747,9414.2866
"2451","South America","Y1996",436625.5857,341707.0814,90690.8448,4227.6595,0,252627.6361,252250.5133,26.2429,350.8799,0,100832.2491,90705.937,5964.2365,4162.0756,0,71809.0228,56953.7045,212.8986,6578.8593,8063.5604,85005.7043,171.1408,79900.139,4934.4245,0,12402.1106,0,NA,12402.1106,0,609111.4717,0,402540.8553,206570.6165,0,1853884.439,1828516.764,18209.11,7158.5649,0,-410993.1288,-410993.1288,0,0,0,790085.4709,684663.5317,96681.3242,8740.615,0,1442891,1417524,18209,7159,0,2159312.0122,597544.3271,246385.1908,8063.5604
"2832","South America","Y1997",470013.5047,369441.8568,96078.5694,4493.0786,0,261210.4237,260820.3631,27.2605,362.8,0,98803.9541,89122.9537,5538.5352,4142.4652,0,74750.036,60094.7184,257.5163,6355.299,8042.5024,87629.7922,176.3401,82489.5321,4963.92,0,12734.2384,0,NA,12734.2384,0,615932.1534,0,405589.2248,210342.9286,0,1859684.775,1829979.884,21197.4467,8507.4441,0,-412840.6427,-412840.6427,0,0,0,830027.8825,719385.1736,101644.3651,8998.3438,0,1446844,1417139,21197,8507,0,2196795.4734,611178.085,251902.1739,8042.5024
"3213","South America","Y1998",494551.0939,390648.3505,99144.1806,4758.5628,0,273360.1287,272946.5174,27.5671,386.0441,0,96562.6214,87045.8042,5503.3183,4013.499,0,76748.3482,60923.4274,255.3898,7666.4024,7903.1286,88673.9875,179.6121,83443.0789,5051.2965,0,14622.1504,0,NA,14622.1504,0,624997.2281,0,409090.5003,215906.7278,0,1880677.572,1837738.109,30741.9022,12197.5607,0,-414710.5468,-414710.5468,0,0,0,864473.844,750640.6721,104675.066,9158.106,0,1465967,1423028,30742,12198,0,2234771.2738,628205.9372,264602.2437,7903.1286
"3594","South America","Y1999",485350.9688,385751.3879,94819.0385,4780.5425,0,267802.9117,267407.0519,26.1296,369.7302,0,102278.4591,92552.6572,5622.8988,4102.9031,0,75036.5072,60573.9408,284.4614,7795.5327,6382.5722,90956.5195,183.3865,85561.9278,5211.2053,0,14191.006,0,NA,14191.006,0,629334.9747,0,412789.3543,216545.6204,0,1874711.459,1833023.096,29505.0922,12183.2709,0,-416603.2992,-416603.2992,0,0,0,855432.3397,745711.097,100468.0669,9253.1758,0,1458108,1416420,29505,12183,0,2222888.2211,628608.9026,265179.8111,6382.5722
"3975","South America","Y2000",509370.9632,401874.6623,102856.5914,4639.7095,0,272151.1046,271740.7897,20.5237,389.7912,0,100168.9038,90635.67,5553.0028,3980.2309,0,79364.8172,63294.7808,306.6907,9442.3837,6320.962,93873.7291,189.3054,88371.8067,5312.617,0,10552.6323,0,NA,10552.6323,0,634476.2455,0,416057.7213,218418.5243,0,1846146.667,1833233.333,9384.0144,3529.319,0,-418519.3715,-418519.3715,0,0,0,881690.9715,764251.122,108430.1179,9009.7317,0,1427627,1414714,9384,3529,0,2242449.1697,622550.351,256265.2079,6320.962
"4356","South America","Y2001",507326.3392,400798.7061,101803.7206,4723.9125,0,272680.9985,272256.0141,21.1977,403.7867,0,100222.1692,90522.2,5628.2989,4071.6703,0,75436.2616,60027.4293,309.1928,9009.1864,6090.4531,95165.858,193.3131,89589.0717,5383.4732,0,12364.3835,0,NA,12364.3835,0,653264.6573,0,426095.5366,227169.1207,0,2039110.274,2029569.005,7194.1638,2347.1052,0,-343839.0839,-343839.0839,0,0,0,880229.5068,763576.9202,107453.2172,9199.3695,0,1695271,1685730,7194,2347,0,2509527.5837,630641.1821,265472.6385,6090.4531
"4737","South America","Y2002",501355.8648,393971.2216,102565.7803,4818.8629,0,267738.8095,267295.476,23.5419,419.7915,0,99039.1331,89059.62,5892.6901,4086.823,0,70660.9123,59080.0551,323.0593,4290.3573,6967.4406,97046.9217,198.3201,91411.9549,5436.6467,0,12701.5369,0,NA,12701.5369,0,675795.6331,0,441110.5294,234685.1038,0,2041797.492,2027706.365,10148.5091,3942.6187,0,-345646.5564,-345646.5564,0,0,0,868133.8074,750326.3176,108482.0123,9325.4774,0,1696151,1682060,10149,3943,0,2491664.5014,651476.065,270381.7408,6967.4406
"5118","South America","Y2003",503920.581,391166.1151,107706.0205,5048.4455,0,264531.1866,264126.671,21.9545,382.5612,0,97568.1192,87129.76,6153.1692,4285.1901,0,71831.3738,59153.7176,334.1061,4039.5037,8304.0464,98758.658,202.3284,92942.2273,5614.1023,0,13123.101,0,NA,13123.101,0,709082.8938,0,460075.3063,249007.5875,0,2064521.732,2042245.044,16518.5495,5758.1384,0,-347480.5568,-347480.5568,0,0,0,866019.8869,742422.5461,113881.1441,9716.1967,0,1717041,1694764,16519,5758,0,2496543.0793,683751.3334,287258.6297,8304.0464
"5499","South America","Y2004",546968.4216,424433.1529,117230.3373,5304.9314,0,283527.7921,283111.7567,22.9901,393.0453,0,101554.3831,90942.68,6126.5638,4485.1392,0,75191.0986,61202.6669,356.6483,4355.0743,9276.709,102665.3767,209.3402,96762.3747,5693.6619,0,17330.321,0,NA,17330.321,0,727677.9646,0,474061.0638,253616.9008,0,2073248.759,2038424.145,24910.6747,9913.9389,0,-349341.739,-349341.739,0,0,0,932050.5967,798487.5896,123379.8912,10183.1159,0,1723907,1689082,24911,9914,0,2548982.0027,719470.6527,301093.0128,9276.709
"5880","South America","Y2005",560640.5499,434701.3728,120446.7074,5492.4696,0,289733.4032,289306.143,24.0372,403.223,0,102735.5248,92019.51,6195.7138,4520.301,0,77555.7235,62375.9844,370.7126,4345.7535,10463.2731,101225.023,214.3468,95238.5494,5772.1268,0,17464.2281,0,NA,17464.2281,0,736297.288,0,481003.686,255293.602,0,2081100.297,2041792.17,28165.5626,11142.5644,0,-351230.7811,-351230.7811,0,0,0,953109.478,816027.0258,126666.4585,10415.9936,0,1729870,1690561,28166,11143,0,2569178.7459,731444.969,304434.2684,10463.2731
"6261","South America","Y2006",572076.3035,445317.6132,120913.4502,5845.2401,0,302105.5024,301665.747,25.2486,414.5068,0,104331.524,93709.82,6182.743,4438.961,0,82743.8269,66565.9827,393.1194,4508.0234,11276.7015,103916.846,218.3543,97848.3079,5850.1839,0,9396.5887,0,NA,9396.5887,0,733424.171,0,478081.9127,255342.2584,0,1629802.887,1607048.097,16681.3034,6073.4868,0,-506837.6833,-506837.6833,0,0,0,978513.3299,840693.1802,127121.4418,10698.7079,0,1122965,1100210,16681,6073,0,2007687.9309,720126.0852,291869.2491,11276.7015
"6642","South America","Y2007",594415.6416,465326.3534,122914.6802,6174.608,0,313767.8282,313316.7482,26.1553,424.9247,0,106466.2112,95783.24,6212.0082,4470.963,0,90231.4173,73109.8231,407.8178,4712.7152,12001.0612,102714.2067,223.3633,96562.2356,5928.6078,0,10002.8937,0,NA,10002.8937,0,747896.0447,0,477601.992,270294.0527,0,1653800.225,1602281.73,36449.93,15068.5649,0,-508669.6308,-508669.6308,0,0,0,1014649.681,874426.3416,129152.8436,11070.4957,0,1145131,1093612,36450,15069,0,2041371.6272,740174.8191,317077.33,12001.0612
"7023","South America","Y2008",613590.1759,480631.6837,126449.7903,6508.702,0,325208.5204,324740.8143,26.0918,441.6143,0,108892.5408,97855.3,6248.1724,4789.0685,0,93147.956,75715.2753,423.179,4442.3376,12567.1641,102131.0292,228.3724,95895.6346,6007.0222,0,10190.912,0,NA,10190.912,0,738074.5666,0,476570.4715,261504.0951,0,1629672.726,1606989.521,16163.9137,6519.2919,0,-510528.4079,-510528.4079,0,0,0,1047691.237,903227.798,132724.0544,11739.3848,0,1119144,1096461,16164,6519,0,2075632.5588,721777.2533,300403.0436,12567.1641
"7404","South America","Y2009",586223.5888,460340.7139,119573.8311,6309.0438,0,321635.8742,321184.0694,24.2669,427.538,0,108899.0299,97728.23,6366.9774,4803.8225,0,88982.8095,72651.6488,440.6677,3383.4587,12507.0344,102835.0533,232.3793,96517.3582,6085.3158,0,10648.5695,0,NA,10648.5695,0,739161.0082,0,477735.8691,261425.1391,0,1622262.095,1611117.432,8582.0661,2562.5967,0,-512414.7968,-512414.7968,0,0,0,1016758.493,879253.0133,125965.0753,11540.4042,0,1109847,1098703,8582,2563,0,2050839.6766,709241.0365,295645.4841,12507.0344
