"","Area","Year","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7231","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7194","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7244","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7243","Emissions.Energy (energy, manufacturing and construction industries and fugitive emissions)_7178","Emissions.Transport_7231","Emissions.Transport_7194","Emissions.Transport_7244","Emissions.Transport_7243","Emissions.Transport_7178","Emissions.Residential, commercial, institutional and AFF_7231","Emissions.Residential, commercial, institutional and AFF_7194","Emissions.Residential, commercial, institutional and AFF_7244","Emissions.Residential, commercial, institutional and AFF_7243","Emissions.Residential, commercial, institutional and AFF_7178","Emissions.Industrial processes and product use_7231","Emissions.Industrial processes and product use_7194","Emissions.Industrial processes and product use_7244","Emissions.Industrial processes and product use_7243","Emissions.Industrial processes and product use_7178","Emissions.Waste_7231","Emissions.Waste_7194","Emissions.Waste_7244","Emissions.Waste_7243","Emissions.Waste_7178","Emissions.Other sources_7231","Emissions.Other sources_7194","Emissions.Other sources_7244","Emissions.Other sources_7243","Emissions.Other sources_7178","Emissions.Agriculture total_7231","Emissions.Agriculture total_7194","Emissions.Agriculture total_7244","Emissions.Agriculture total_7243","Emissions.Agriculture total_7178","Emissions.Land use sources_7231","Emissions.Land use sources_7194","Emissions.Land use sources_7244","Emissions.Land use sources_7243","Emissions.Land use sources_7178","Emissions.Forest_7231","Emissions.Forest_7194","Emissions.Forest_7244","Emissions.Forest_7243","Emissions.Forest_7178","Emissions.Energy total_7231","Emissions.Energy total_7194","Emissions.Energy total_7244","Emissions.Energy total_7243","Emissions.Energy total_7178","Emissions.Land Use total_7231","Emissions.Land Use total_7194","Emissions.Land Use total_7244","Emissions.Land Use total_7243","Emissions.Land Use total_7178","CO2_7194","CH4_7244","N2O_7243","F_7178"
"7132","Europe","Y2008",4407092.983,3766635.555,612145.9483,28311.4793,0,1308306.945,1305255.4,121.0161,2930.5285,0,1051883.698,1011136.7,28792.6602,11954.3381,0,659885.8027,401749.5933,1087.3623,78520.7457,178528.1014,261637.7799,6326.1517,232958.948,22352.6802,0,25974.021,0,NA,25974.021,0,586694.8671,0,294167.8188,292527.0483,0,496802.8261,411665.7321,62673.3505,22463.7436,0,-927020.3347,-927020.3347,0,0,0,6767283.626,6083027.655,641059.6246,43196.346,0,-430218,-515355,62673,22464,0,5975748.7974,1231947.1042,485034.5847,178528.1014
"7513","Europe","Y2009",4094282.863,3460276.312,606741.1675,27265.3833,0,1273302.92,1270415.99,112.8784,2774.0516,0,1002658.185,962767.1,28433.115,11457.97,0,621538.8074,370684.7996,1085.1829,66067.2303,183701.5945,264634.1858,6422.8382,235750.8752,22460.4724,0,24575.2422,0,NA,24575.2422,0,574807.0174,0,289875.2371,284931.7803,0,331194.7155,311947.9803,16850.2278,2396.5074,0,-927580.1336,-927580.1336,0,0,0,6370243.968,5693459.402,635287.1609,41497.4049,0,-596385,-615632,16850,2397,0,5454934.8865,1178848.6839,441928.6375,183701.5945
"7894","Europe","Y2010",4215319.909,3555509.629,631547.2454,28263.0349,0,1276000.112,1273058.08,112.1956,2829.8359,0,1024691.341,981956.6,30829.448,11905.2929,0,660031.8282,393839.0863,1094.4206,58676.4061,206421.9152,267537.5321,6539.3968,238296.9303,22701.2049,0,24397.358,0,NA,24397.358,0,572990.2642,0,287594.0338,285396.2304,0,308573.7181,285920.1494,16193.063,6460.5057,0,-928138.5317,-928138.5317,0,0,0,6516011.361,5810524.309,662488.8891,42998.1637,0,-619565,-642218,16193,6461,0,5568684.4098,1205667.3367,440629.8688,206421.9152
"56","Northern America","Y1990",3340081.299,3016209.238,275611.794,48260.2671,0,1562528.025,1555533.957,238.9695,6755.0986,0,710246.8983,694570.8281,9340.6606,6335.4096,0,331561.8777,182407.9536,738.2355,48611.1478,99804.5408,237738.5542,244.941,229327.2588,8166.3545,0,37131.4137,4730,315,32086.4137,0,383685.0741,0,185456.2292,198228.8449,0,361813.6953,323599.0787,30016.981,8197.6357,0,-597111.4922,-597111.4922,0,0,0,5612856.223,5266314.023,285191.424,61350.7753,0,-235298,-273512,30017,8198,0,5180184.5042,731045.1286,356641.1719,99804.5408
"437","Northern America","Y1991",3325309.975,3003257.748,271597.2228,50455.0042,0,1531236.674,1524328.412,219.4653,6688.7972,0,717388.1509,700379.2263,10512.8432,6496.0815,0,331944.7622,180083.3729,735.6875,48450.1533,102675.5485,233598.4882,243.4109,224939.0865,8415.9908,0,36269.228,4730,315,31224.228,0,383864.9525,0,185593.91,198271.0425,0,362333.3563,324118.7397,30016.981,8197.6357,0,-597631.1532,-597631.1532,0,0,0,5573934.8,5227965.386,282329.5313,63639.8828,0,-235298,-273512,30017,8198,0,5139509.7566,723930.1963,358198.9332,102675.5485
"818","Northern America","Y1992",3390768.946,3063414.102,273449.747,53905.0967,0,1566874.391,1559755.73,207.738,6910.9232,0,713646.6619,696371.3857,10391.2624,6884.0139,0,338525.9156,186129.7579,733.1598,49640.9775,102022.0204,229796.8134,241.7291,220893.3292,8661.7551,0,35839.4675,4730,315,30794.4675,0,392451.3502,0,189177.7005,203273.6497,0,362852.6447,324638.0281,30016.981,8197.6357,0,-598150.4416,-598150.4416,0,0,0,5671289.999,5319541.218,284048.7473,67700.0337,0,-235298,-273512,30017,8198,0,5237130.2912,725184.9179,368268.5193,102022.0204
"1199","Northern America","Y1993",3484411.31,3152386.981,275327.2444,56697.0853,0,1592628.313,1585447.864,190.9356,6989.5131,0,733104.0746,718520.8371,8232.146,6351.0916,0,341869.6824,187243.9849,782.284,51017.5632,102825.8503,224785.8809,239.8996,215708.521,8837.4603,0,36242.06,4730,315,31197.06,0,397042.1035,0,189572.8806,207469.2228,0,363371.5609,325156.9443,30016.981,8197.6357,0,-598669.3578,-598669.3578,0,0,0,5810143.698,5456355.682,283750.326,70037.69,0,-235298,-273512,30017,8198,0,5375057.1531,720145.9926,376756.632,102825.8503
"1580","Northern America","Y1994",3522028.985,3185422.092,277693.3463,58913.5472,0,1652166.491,1644738.019,177.4683,7251.0038,0,725238.7373,710802.8366,8110.1681,6325.7327,0,357745.3919,195203.6257,844.8567,53800.4038,107896.5056,219631.5033,237.9216,210137.2884,9256.2933,0,37876.0559,4730,315,32831.0559,0,401766.0478,0,193025.5774,208740.4704,0,363890.1053,325675.4886,30016.981,8197.6357,0,-599187.9022,-599187.9022,0,0,0,5899434.213,5540962.947,285980.9827,72490.2837,0,-235298,-273512,30017,8198,0,5467622.0813,720320.6862,385316.1428,107896.5056
"1961","Northern America","Y1995",3489933.584,3153564.604,277443.2742,58925.7054,0,1687081.04,1679468.878,162.4613,7449.701,0,730647.4094,715381.3222,8762.485,6503.6022,0,371154.1911,199443.581,868.013,54124.4762,116718.1209,209753.8483,235.7994,200231.6259,9286.423,0,37235.8633,4730,315,32190.8633,0,406260.0236,0,195582.325,210677.6986,0,364408.2783,326193.6616,30016.981,8197.6357,0,-599706.0752,-599706.0752,0,0,0,5907662.033,5548414.804,286368.2205,72879.0086,0,-235298,-273512,30017,8198,0,5479311.771,713382.1654,387356.1054,116718.1209
"2342","Northern America","Y1996",3604101.802,3262389.233,280551.5251,61161.0438,0,1730173.183,1722477.897,158.3475,7536.9384,0,774296.8411,758769.0161,8826.7183,6701.1067,0,387884.3501,202388.7845,858.3015,56228.4912,128408.773,201872.7517,233.527,192160.4533,9478.7714,0,35974.9995,4730,315,30929.9995,0,412662.6931,0,196051.1344,216611.5587,0,333824.541,304618.7248,22953.0089,6252.8073,0,-600223.8772,-600223.8772,0,0,0,6108571.826,5743636.146,289536.5909,75399.0888,0,-266399,-295605,22953,6253,0,5655383.3052,701874.489,394900.717,128408.773
